query_path,query_image,query_label,P@20,P@40,P@60
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,0.2,0.1,0.08333333333333333
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,1.0,1.0,1.0
D:\BJTU_CV_Exp2\dataset\query\fhy-202505071933041.jpg,fhy-202505071933041.jpg,fhy,1.0,1.0,0.9666666666666667
D:\BJTU_CV_Exp2\dataset\query\fhy-20260511140018_130_105(1).jpg,fhy-20260511140018_130_105(1).jpg,fhy,0.85,0.65,0.5333333333333333
D:\BJTU_CV_Exp2\dataset\query\fhy-2837bfg872vd.jpg,fhy-2837bfg872vd.jpg,fhy,1.0,0.925,0.8666666666666667
D:\BJTU_CV_Exp2\dataset\query\fhy-4f6228a6c7fbd04aa26c0f777fadedc.jpg,fhy-4f6228a6c7fbd04aa26c0f777fadedc.jpg,fhy,0.9,0.9,0.8666666666666667
D:\BJTU_CV_Exp2\dataset\query\fhy-5e2877255e30fa15ed76f844332cf5fc.jpg,fhy-5e2877255e30fa15ed76f844332cf5fc.jpg,fhy,1.0,1.0,1.0
D:\BJTU_CV_Exp2\dataset\query\fhy-78834e204ffce3259503c1b32ab9cd0.jpg,fhy-78834e204ffce3259503c1b32ab9cd0.jpg,fhy,0.9,0.8,0.7833333333333333
D:\BJTU_CV_Exp2\dataset\query\fhy-fhjsix85495112.jpg,fhy-fhjsix85495112.jpg,fhy,0.95,0.9,0.8333333333333334
D:\BJTU_CV_Exp2\dataset\query\fhy-hxnbscxscxbbyts.jpg,fhy-hxnbscxscxbbyts.jpg,fhy,1.0,1.0,0.9333333333333333
D:\BJTU_CV_Exp2\dataset\query\fhy-jsej11zoq.jpg,fhy-jsej11zoq.jpg,fhy,1.0,1.0,1.0
D:\BJTU_CV_Exp2\dataset\query\fhy-n8ddq1q.png,fhy-n8ddq1q.png,fhy,1.0,1.0,1.0
D:\BJTU_CV_Exp2\dataset\query\fhy-qegbc40198.png,fhy-qegbc40198.png,fhy,1.0,1.0,1.0
D:\BJTU_CV_Exp2\dataset\query\fhy-qoib2.jpg,fhy-qoib2.jpg,fhy,0.85,0.75,0.7166666666666667
