query_path,query_image,query_label,rank,base_path,base_image,base_label,similarity,is_relevant
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,1,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-ikl12n12lo.jpg,fhy-ikl12n12lo.jpg,fhy,0.7878888845443726,1
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,2,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-ptly916g6uvufc.jpg,fhy-ptly916g6uvufc.jpg,fhy,0.773005485534668,1
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,3,D:\BJTU_CV_Exp2\dataset\base\BJTU\mh-27qwgyuvbxcnk.jpg,mh-27qwgyuvbxcnk.jpg,mh,0.754518985748291,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,4,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-8oae6r5t64ptx2.jpg,fhy-8oae6r5t64ptx2.jpg,fhy,0.7513062953948975,1
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,5,D:\BJTU_CV_Exp2\dataset\base\BJTU\mh-ee3f0c5b9d9b66250a282ee1ca2f007.jpg,mh-ee3f0c5b9d9b66250a282ee1ca2f007.jpg,mh,0.7442036867141724,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,6,D:\BJTU_CV_Exp2\dataset\base\util_pic\oxford_002470.jpg,oxford_002470.jpg,oxford,0.7331966161727905,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,7,D:\BJTU_CV_Exp2\dataset\base\util_pic\oxford_001751.jpg,oxford_001751.jpg,oxford,0.7317745089530945,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,8,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-oakvomofk.jpg,fhy-oakvomofk.jpg,fhy,0.7307895421981812,1
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,9,D:\BJTU_CV_Exp2\dataset\base\BJTU\mh-awugd835hfuew7g.jpg,mh-awugd835hfuew7g.jpg,mh,0.7291340827941895,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,10,D:\BJTU_CV_Exp2\dataset\base\util_pic\oxford_001072.jpg,oxford_001072.jpg,oxford,0.726935863494873,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,11,D:\BJTU_CV_Exp2\dataset\base\BJTU\tsg-clp8643754.png,tsg-clp8643754.png,tsg,0.7250618934631348,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,12,D:\BJTU_CV_Exp2\dataset\base\BJTU\zx-7b803be69f36cb.jpg,zx-7b803be69f36cb.jpg,zx,0.7248564958572388,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,13,D:\BJTU_CV_Exp2\dataset\base\BJTU\tsg-tyieghjrtuy456y5ijlop90.png,tsg-tyieghjrtuy456y5ijlop90.png,tsg,0.7232691645622253,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,14,D:\BJTU_CV_Exp2\dataset\base\BJTU\mh-8n9o0p1q2r3s.jpg,mh-8n9o0p1q2r3s.jpg,mh,0.7222030758857727,0
